,camera_id,direction,cam_loc,remarks,dir_start,dir_finish
0,1001.0,1,"(1.29531332, 103.871146)",TRUE (left),"(1.2952719096725678, 103.87068089160921)","(1.2954046383155724, 103.87157229738281)"
1,1001.0,2,"(1.29531332, 103.871146)",TRUE (left),"(1.295216922089859, 103.87161591936747)","(1.29509936242626, 103.87072261698584)"
2,1002.0,1,"(1.319541067, 103.8785627)",TRUE (left),"(1.319649819147653, 103.87894320461515)","(1.3195731538491529, 103.87805455346877)"
3,1002.0,2,"(1.319541067, 103.8785627)",TRUE (left),"(1.319965499763606, 103.8780229770321)","(1.320015106713897, 103.8789296718566)"
4,1003.0,1,"(1.323957439, 103.8728576)",SPECIAL (5 lanes),"(1.3243485357876017, 103.87259422178255)","(1.3236450201732457, 103.87318289678052)"
5,1003.0,2,"(1.323957439, 103.8728576)",SPECIAL (5 lanes),"(1.3242604438305734, 103.87254819519728)","(1.3235727121981464, 103.87313687019525)"
6,1003.0,3,"(1.323957439, 103.8728576)",SPECIAL (5 lanes),"(1.3242430071899904, 103.87253154457481)","(1.3235446489245515, 103.8730578453694)"
7,1003.0,4,"(1.323957439, 103.8728576)",SPECIAL (5 lanes),"(1.3241951744383653, 103.87239757709983)","(1.3234553610956037, 103.87294301610511)"
8,1003.0,5,"(1.323957439, 103.8728576)",SPECIAL (5 lanes),"(1.3234508192286978, 103.87274226447113)","(1.3241810660223483, 103.87219682546583)"
9,1004.0,1,"(1.319535712, 103.8750668)",FALSE,"(1.3190823931802873, 103.87484780019736)","(1.3199849392540122, 103.87489521539808)"
10,1004.0,2,"(1.319535712, 103.8750668)",FALSE,"(1.3200152769314712, 103.87503746100026)","(1.3191127308687638, 103.87518918964258)"
11,1005.0,1,"(1.363519886, 103.905394)",FALSE,"(1.3638837686407717, 103.90569850422695)","(1.363086603829279, 103.90526332703821)"
12,1005.0,2,"(1.363519886, 103.905394)",FALSE,"(1.3631725725961523, 103.90515909298104)","(1.3639645271526943, 103.90558124091261)"
13,1006.0,1,"(1.357098686, 103.902042)",FALSE,"(1.3575347850989687, 103.90229400355385)","(1.356708095903446, 103.90185019727508)"
14,1006.0,2,"(1.357098686, 103.902042)",FALSE,"(1.3567573938909148, 103.9017401940094)","(1.3575423694021955, 103.90215744777576)"
15,1501.0,1,"(1.27414394350065, 103.851316802547)",SPECIAL (1 lane),"(1.2747579739093062, 103.85091446859154)","(1.2745273610173036, 103.85179959749458)"
16,1502.0,1,"(1.27135090682664, 103.861828440597)",SPECIAL (1 lane),"(1.2716380112820493, 103.8621964445982)","(1.2711284028326109, 103.86146116471566)"
17,1503.0,1,"(1.27066408655104, 103.856977943394)",FALSE,"(1.27036042638508, 103.85732898659268)","(1.2707707034577835, 103.85651091290957)"
18,1503.0,2,"(1.27066408655104, 103.856977943394)",FALSE,"(1.270963774998865, 103.85659137917348)","(1.2705829950012366, 103.85740408843898)"
19,1504.0,1,"(1.29409891409364, 103.876056196568)",SPECIAL (1 lane),"(1.294461655392097, 103.87636907525676)","(1.2936821180537554, 103.87592853466721)"
20,1505.0,1,"(1.2752977149006, 103.866390381759)",SPECIAL (1 lane),"(1.274997621983928, 103.86606840650607)","(1.2755474163034228, 103.86679070328113)"
21,1701.0,1,"(1.323604823, 103.8587802)",FALSE,"(1.3236855783389316, 103.85801129506575)","(1.3243072451343585, 103.85868051928438)"
22,1701.0,2,"(1.323604823, 103.8587802)",FALSE,"(1.324198644684519, 103.85878914880838)","(1.3235631308456395, 103.8581051855105)"
23,1702.0,1,"(1.34355015, 103.8601984)",FALSE,"(1.3431362533324158, 103.8603561743772)","(1.3440042420643437, 103.86007153900867)"
24,1702.0,2,"(1.34355015, 103.8601984)",FALSE,"(1.3440275077374522, 103.86028277783564)","(1.3431630983493599, 103.86055309192774)"
25,1703.0,1,"(1.32814722194857, 103.862203282048)",FALSE,"(1.3277780896953049, 103.86176860235966)","(1.3286281214891114, 103.86209314962409)"
26,1703.0,2,"(1.32814722194857, 103.862203282048)",FALSE,"(1.3286415289283189, 103.86228090423988)","(1.32772982289697, 103.86196976801943)"
27,1704.0,1,"(1.28569398886979, 103.837524510188)",FALSE,"(1.2853061926158522, 103.83723720205947)","(1.2859727166962915, 103.83792540017214)"
28,1704.0,2,"(1.28569398886979, 103.837524510188)",FALSE,"(1.2852273564227954, 103.83728977274863)","(1.2859942174701802, 103.83811178716098)"
29,1704.0,3,"(1.28569398886979, 103.837524510188)",FALSE,"(1.2851962997400104, 103.8373901349734)","(1.2859416600225777, 103.83813329335197)"
30,1704.0,4,"(1.28569398886979, 103.837524510188)",FALSE,"(1.285877157699029, 103.83818347446437)","(1.2851174635435438, 103.83748332846783)"
31,1705.0,1,"(1.375925022, 103.8587986)",FALSE,"(1.3752939035761242, 103.85871517155806)","(1.377181002101763, 103.85832766854271)"
32,1705.0,2,"(1.375925022, 103.8587986)",FALSE,"(1.3775743279351014, 103.85845439231892)","(1.3750420349332322, 103.85900428662228)"
33,1706.0,1,"(1.38861, 103.85806)",FALSE,"(1.3881445828129613, 103.85805416165584)","(1.3893350647075775, 103.85792922193683)"
34,1706.0,2,"(1.38861, 103.85806)",FALSE,"(1.3881328731525324, 103.85820252757215)","(1.3890735490646138, 103.85807368348694)"
35,1706.0,3,"(1.38861, 103.85806)",FALSE,"(1.3891062353467767, 103.85826249475689)","(1.3880743248463545, 103.85831575419249)"
36,1707.0,1,"(1.28036584335876, 103.830451146503)",TRUE (left 2),"(1.2807643883766948, 103.83081320149965)","(1.280058401849761, 103.83010561778838)"
37,1707.0,2,"(1.28036584335876, 103.830451146503)",TRUE (left 2),"(1.280801321270776, 103.83078762618487)","(1.2800896527667303, 103.82997632036275)"
38,1707.0,3,"(1.28036584335876, 103.830451146503)",TRUE (left 2),"(1.2801930127259173, 103.82989859719319)","(1.2808876352521155, 103.83070279876101)"
39,1709.0,1,"(1.31384231654635, 103.845603032574)",FALSE,"(1.3143151242709845, 103.84566187937978)","(1.313444015439061, 103.84536447661158)"
40,1709.0,2,"(1.31384231654635, 103.845603032574)",FALSE,"(1.314335989149464, 103.84560274666563)","(1.3135066100957833, 103.8452183840237)"
41,1709.0,3,"(1.31384231654635, 103.845603032574)",FALSE,"(1.3135086318698048, 103.84504104622607)","(1.3143742414285526, 103.84549491642198)"
42,1711.0,1,"(1.35296, 103.85719)",TRUE (left 2),"(1.3537814866366664, 103.85733344409368)","(1.3522904346185622, 103.85746619254492)"
43,1711.0,2,"(1.35296, 103.85719)",TRUE (left 2),"(1.3538049062945612, 103.8570523297264)","(1.3520601411623376, 103.85744276634765)"
44,1711.0,3,"(1.35296, 103.85719)",TRUE (left 2),"(1.3520718509996181, 103.85722802620595)","(1.3538049062945612, 103.8568375895847)"
45,2701.0,1,"(1.447023728, 103.7716543)",FALSE,"(1.449840017605581, 103.76991916653809)","(1.4528108334585053, 103.76900072604502)"
46,2701.0,2,"(1.447023728, 103.7716543)",FALSE,"(1.4528342256938231, 103.76920547392565)","(1.449845865672098, 103.77010051466092)"
47,2702.0,1,"(1.445554109, 103.7683397)",SPECIAL (several roads going over & around each other),"(1.4427580170206893, 103.76841893889475)","(1.4410016085719772, 103.76848531312038)"
48,2702.0,2,"(1.445554109, 103.7683397)",SPECIAL (several roads going over & around each other),"(1.4426448262877596, 103.7682276249505)","(1.4408181613820847, 103.76830961664096)"
49,2702.0,3,"(1.445554109, 103.7683397)",SPECIAL (several roads going over & around each other),"(1.4408220645137788, 103.76816905945732)","(1.4426604388020037, 103.76810658959792)"
